stud_id,w2sch_id,w2cls_id,w2td01,w2td02,w2td03,w2td04,w2td05,w2td06,w2td07,w2td08,w2td09,w2td10,w2td11,w2td12,w2td13,w2td14,w2td15,w2tcs1,w2tcs2,w2tcs3,w2tcs4,w2tcs5,w2tes1,w2tes2,w2tes3,w2tes4,w2tes5,w2tms1,w2tms2,w2tms3,w2tms4,w2tms5,w2sumerr,w2summis
00195,153,3002,2,3,3,3,3,4,2,3,3,3,3,3,4,3,3,2,2,3,3,3,2,2,4,3,2,2,3,4,3,2,0,0
00197,448,2775,3,6,4,6,3,4,3,4,3,3,3,4,4,3,97,2,2,3,3,2,4,3,4,3,4,2,2,4,4,2,1,0
00198,524,2485,4,2,5,5,4,5,4,5,3,5,3,2,4,1,3,4,4,2,4,5,3,3,2,4,5,4,4,2,4,5,0,0
00199,362,2937,2,3,3,3,2,3,2,3,2,2,2,3,4,3,3,2,2,4,4,2,1,1,4,2,1,2,2,3,3,2,0,0
00200,597,3317,5,2,2,5,5,3,5,3,5,5,4,1,1,1,1,3,4,1,4,4,4,4,3,4,4,3,4,2,4,5,0,0
00201,527,3365,5,4,5,5,3,4,5,5,4,5,3,1,1,1,2,3,4,1,4,5,4,3,1,4,5,4,4,1,4,5,0,0
00202,371,2472,4,2,2,1,2,2,1,1,1,1,2,4,4,3,3,2,2,4,4,1,1,1,4,4,1,1,1,4,3,1,0,0
00204,544,3054,2,3,2,2,2,2,2,2,2,2,2,4,4,3,2,2,2,3,2,2,1,2,4,2,2,2,2,4,2,2,0,0
00205,359,2619,4,2,3,3,3,3,3,1,3,3,4,4,4,4,4,2,3,2,1,2,1,2,4,3,1,1,1,3,4,1,0,0
00206,562,2302,4,3,4,5,3,5,4,5,5,5,2,1,1,1,4,4,4,2,4,5,4,4,1,4,5,4,4,1,4,5,0,0
